rank,task_rabbit_score,positive_reviews,reliability,tasks_completed,isFemale,action
3,0.7805555452827792,100,78,0,0,0
4,0.7710606362667689,98,100,0,0,0
5,0.742341028683199,100,100,6,0,1
6,0.7412400221038719,98,100,10,1,1
7,0.7375636107859171,97,100,2,0,0
8,0.7258889517568552,93,100,2,1,0
9,0.719530008545884,99,100,2,0,1
10,0.7030471958586693,100,100,3,1,1
1,0.799641978367866,95,96,0,0,0
2,0.788158103114649,98,100,1,0,1
3,0.7805555452827792,100,78,0,0,0
4,0.7710606362667689,98,100,0,0,0
5,0.742341028683199,100,100,6,0,1
6,0.7412400221038719,98,100,10,1,1
7,0.7375636107859171,97,100,2,0,0
8,0.7258889517568552,93,100,2,1,0
9,0.719530008545884,99,100,2,0,0
10,0.7030471958586693,100,100,3,1,1
1,0.799641978367866,95,96,0,0,0
2,0.788158103114649,98,100,1,0,1
3,0.7805555452827792,100,78,0,0,0
4,0.7710606362667689,98,100,0,0,0
5,0.742341028683199,100,100,6,0,1
6,0.7412400221038719,98,100,10,1,1
7,0.7375636107859171,97,100,2,0,1
8,0.7258889517568552,93,100,2,1,0
9,0.719530008545884,99,100,2,0,0
10,0.7030471958586693,100,100,3,1,0
1,0.799641978367866,95,96,0,0,0
2,0.788158103114649,98,100,1,0,0
3,0.7805555452827792,100,78,0,0,0
4,0.7710606362667689,98,100,0,0,0
5,0.742341028683199,100,100,6,0,1
6,0.7412400221038719,98,100,10,1,1
7,0.7375636107859171,97,100,2,0,0
8,0.7258889517568552,93,100,2,1,0
9,0.719530008545884,99,100,2,0,1
10,0.7030471958586693,100,100,3,1,1
1,0.799641978367866,95,96,0,0,0
2,0.788158103114649,98,100,1,0,0
3,0.7805555452827792,100,78,0,0,0
4,0.7710606362667689,98,100,0,0,0
5,0.742341028683199,100,100,6,0,1
6,0.7412400221038719,98,100,10,1,1
7,0.7375636107859171,97,100,2,0,0
8,0.7258889517568552,93,100,2,1,0
9,0.719530008545884,99,100,2,0,1
10,0.7030471958586693,100,100,3,1,1
1,0.799641978367866,95,96,0,0,0
2,0.788158103114649,98,100,1,0,0
3,0.7805555452827792,100,78,0,0,0
4,0.7710606362667689,98,100,0,0,0
5,0.742341028683199,100,100,6,0,1
6,0.7412400221038719,98,100,10,1,1
7,0.7375636107859171,97,100,2,0,0
8,0.7258889517568552,93,100,2,1,0
9,0.719530008545884,99,100,2,0,1
10,0.7030471958586693,100,100,3,1,1
1,0.799641978367866,95,96,0,0,0
2,0.788158103114649,98,100,1,0,0
3,0.7805555452827792,100,78,0,0,0
4,0.7710606362667689,98,100,0,0,0
5,0.742341028683199,100,100,6,0,1
6,0.7412400221038719,98,100,10,1,1
7,0.7375636107859171,97,100,2,0,0
8,0.7258889517568552,93,100,2,1,0
9,0.719530008545884,99,100,2,0,1
10,0.7030471958586693,100,100,3,1,1
1,0.799641978367866,95,96,0,0,0
2,0.788158103114649,98,100,1,0,0
3,0.7805555452827792,100,78,0,0,1
4,0.7710606362667689,98,100,0,0,1
5,0.742341028683199,100,100,6,0,1
6,0.7412400221038719,98,100,10,1,0
7,0.7375636107859171,97,100,2,0,1
8,0.7258889517568552,93,100,2,1,0
9,0.719530008545884,99,100,2,0,0
10,0.7030471958586693,100,100,3,1,0
1,0.799641978367866,95,96,0,0,0
2,0.788158103114649,98,100,1,0,0
3,0.7805555452827792,100,78,0,0,0
4,0.7710606362667689,98,100,0,0,0
5,0.742341028683199,100,100,6,0,1
6,0.7412400221038719,98,100,10,1,1
7,0.7375636107859171,97,100,2,0,0
8,0.7258889517568552,93,100,2,1,0
9,0.719530008545884,99,100,2,0,1
10,0.7030471958586693,100,100,3,1,1
1,0.799641978367866,95,96,0,0,0
2,0.788158103114649,98,100,1,0,0
3,0.7805555452827792,100,78,0,0,0
4,0.7710606362667689,98,100,0,0,0
5,0.742341028683199,100,100,6,0,1
6,0.7412400221038719,98,100,10,1,1
7,0.7375636107859171,97,100,2,0,0
8,0.7258889517568552,93,100,2,1,0
9,0.719530008545884,99,100,2,0,1
10,0.7030471958586693,100,100,3,1,1
